TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.apache.commons.codec.language.bm.BeiderMorseEncoder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9886363636363636,99,98
org.apache.commons.codec.language.bm.Lang,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6163690476190475,184,104
org.apache.commons.codec.language.bm.Languages,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7682886222934112,297,224
org.apache.commons.codec.language.bm.PhoneticEngine,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8734087766594054,445,406
org.apache.commons.codec.language.bm.Rule,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7092747644445465,1147,691
org.apache.commons.codec.net.BCodec,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9485996089256958,179,168
org.apache.commons.codec.net.PercentCodec,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9623625016288059,641,625
org.apache.commons.codec.net.QCodec,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9462565610890971,316,300
org.apache.commons.codec.net.QuotedPrintableCodec,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9149921870861805,744,657
org.apache.commons.codec.net.URLCodec,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9848610582413398,464,455
