TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
tools.jackson.core.util.JsonGeneratorDelegate,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7735631688911513,1380,783
tools.jackson.core.util.JsonParserDelegate,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8743741544427044,860,573
tools.jackson.core.util.JsonParserSequence,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.834212446825877,419,329
tools.jackson.core.util.JsonpCharacterEscapes,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9305555555555556,48,43
tools.jackson.core.util.JsonRecyclerPools,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.93359375,167,157
tools.jackson.core.util.MinimalPrettyPrinter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9208333333333334,124,122
tools.jackson.core.util.ReadConstrainedTextBuffer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,19,19
tools.jackson.core.util.Separators,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9520016401907481,349,331
tools.jackson.core.util.SimpleStreamReadContext,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9472681951614536,572,506
tools.jackson.core.util.SimpleStreamWriteContext,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9433218573305885,425,370
tools.jackson.core.util.TextBuffer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8931071120389124,1705,1553
tools.jackson.core.util.VersionUtil,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8981077955123757,247,228
